Titre;Créateur;Sujet;Editeur;Type;Format;Identifiant;Source;Langue;Résumé;Date de disponibilité;Date de publication;Importance matérielle;Couverture spatiale;Couverture temporelle;Licence;P35 has identified;P70 documents;P4 has time-span;P14 carried out by;P1 is identified by;P2 has type;;;;;;;;;;;
Plouay (56). Manetanet. Un remarquable ensemble funéraire de l’âge du Fer;http://www.viaf.org/viaf/58720418 Tanguy, Daniel;;Association Scorff et Patrimoine;;;56141;;;La fouille programmée confirme tout l’intérêt de la recherche sur l’ensemble funéraire de Manetanet. Plusieurs aspects inédits contribuent à une meilleure connaissance des pratiques funéraires sur une période charnière. Malgré les destructions récentes, le tumulus conserve une base permettant de bien comprendre sa structure et de répondre aux questions laissées en suspens par les explorations anciennes.;Disponible;2023;1 vol. (90 p.) : ill. en coul. ;;;;;;;;;;;;;;;;;;;;
Quimperlé (29). Stang An Aman. Habitat et structures artisanales de l'âge du Bronze. Rapport de Fouilles.;http://www.viaf.org/viaf/67150565733806252223 Sicard, Sandra;;https://www.idref.fr/069185719 Institut national de recherches archéologiques préventives;;;55637;;;La fouille réalisée au lieu-dit Stang an Aman à Quimperlé (29) a permis d’étudier des vestiges de l’âge du Bronze sur deux zones distantes de 400 m. La zone 1 a livré plusieurs plans de bâtiments, des structures de combustion et des fosses. L’ensemble correspond aux vestiges d’un habitat occupé à l’âge du Bronze ancien et final. La zone 2 a livré plusieurs structures empierrées originales appartenant à des périodes chronologiques différentes, de l’âge de Bronze au Moyen-âge, ainsi que plusieurs structures empierrées non datées.;En attente de validation par la CTRA;2023;1 vol. ( 300 p.) : ill. en coul. ;;;;;;;;;;;;;;;;;;;;
Vannes (56). 57 rue de Strasbourg. Rapport de diagnostic.;http://www.viaf.org/viaf/300058042 Beuchet, Laurent;;https://www.idref.fr/069185719 Institut national de recherches archéologiques préventives;;;56233;;;Le diagnostic archéologique réalisé au 57 rue de Strasbourg à Vannes, préalable à l’aménagement d’un ensemble immobilier, s’est déroulé du 31 janvier au 3 février 2023. Il n’a révélé aucun vestige d’occupation ancienne.;Disponible;2023;1 vol. (38 p.) : ill. en coul. ;;;;;;;;;;;;;;;;;;;;
Sainte-Sève (29). Avion Havoc A20. Rapport protection thématique.;Collaveri, Gilles;;;;;56149;;;L’objectif de la présente prospection inventaire était (i) de valider l’emplacement du crash.;Consultable uniquement au SRA;2022;1 vol. (p.) : ill. en coul. ;;;;;;;;;;;;;;;;;;;;
Locmariaquer (56). Rue Er Hastel. Des vestiges du Néolithique et de l’âge Bronze en périphérie du bourg de Locmariaquer;http://www.viaf.org/viaf/59164959872424021896 Le Berre, Stéphanie;;https://www.idref.fr/069185719 Institut national de recherches archéologiques préventives;;;56214;;;La majorité des indices d'occupation apparaîent sous forme d’aménagements empierrés bien individualisés (structures à pierres chauffées, une potentielle tombe à inhumation en coffre), caractérisant une ou plusieurs occupations du site entre le Néolithique moyen et, a minima, l’âge du Bronze ancien. Les indices relatifs à la période antique sont faibles et place la zone diagnostiquée hors d’emprise de l’agglomération antique. L’environnement médiéval conserve visiblement ce caractère rural.;Disponible;2023;1 vol. (118 p.) : ill. en coul. ;;;;;;;;;;;;;;;;;;;;
Locmaria (56). Les Landes douces. Rapport de diagnostic.;Baillieu, Claire;;https://www.idref.fr/069185719 Institut national de recherches archéologiques préventives;;;56213;;;Le diagnostic a permis de mettre au jour un tumulus jusqu’ici masqué par la végétation. Le tertre, d’une trentaine de mètres de diamètre, présentait un modeste bombement rendu visible par le défrichement de la parcelle en vue de la réalisation du diagnostic. Un sondage réalisé à la périphérie de la structure a confirmé le caractère anthropique de cette anomalie topographique. Bien que le mobilier mis au jour soit particulièrement pauvre et découvert dans les niveaux de terre végétale, la datation au radiocarbone effectuée sur un charbon prélevé sous un niveau de pierres situé à la base du tumulus permet de dater le tertre de la fin du IIIe millénaire, soit la transition Campaniforme-âge du Bronze.;Disponible;2023;1 vol. ( 60 p.) : ill. en coul. ;;;;;;;;;;;;;;;;;;;;
Locmariaquer (56). 12 impasse de la Ruche.;Bourne, Stéphane;;https://www.idref.fr/069185719 Institut national de recherches archéologiques préventives;;;56211;;;Un probable coffre funéraire formé de gros blocs de granite posés à plat associé à un amas de pierres de plus petite taille (probablement un lambeau de tertre), ont été mis au jour dans l’angle. nord-est de l’emprise du diagnostic. Le diagnostic a également permis de renseigner l’évolution du paysage agraire, dont la plus ancienne remonte a minima au début de l’Antiquité.;Disponible;2023;1 vol. (62 p.) : ill. en coul. ;;;;;;;;;;;;;;;;;;;;
Plougastel-Daoulas (29). Koatpehen. Le rocher de l'Impératrice. Rapport de fouille programmée 2022.;http://www.viaf.org/viaf/173593800 Naudinot, Nicolas;;https://www.idref.fr/078599725 Cultures et Environnements. Préhistoire, Antiquité, Moyen Âge (Nice);;;56150;;;La fouille de ces secteurs a permis de mettre en évidence des niveaux d’occupations bien préservés. Les premiers résultats s’inscrivent parfaitement dans le scénario dégagé par les autres analyses menées sur le matériel et l’organisation spatiale du site conduisant à voir dans les couches aziliennes du Rocher de l’Impératrice le résultat de passages répétés de petits groupes de chasseurs pour des occupations très courtes au cours de l’Azilien ancien.;Disponible;2023;1 vol. (86 p.) : ill. en coul. ;;;;;;;;;;;;;;;;;;;;
Melesse (35). Les Olivettes 2 : occupations rurales protohistorique; gallo-romaine et médiévale. Rapport de diagnostic;Hamon, Anne-Louise;;https://www.idref.fr/069185719 Institut national de recherches archéologiques préventives;;;56202;;;Quatre occupations chronologiquement distinctes ont été localisées sur l’ensemble de l’emprise. La période de l’âge du Bronze est représentée par une hache en alliage cuivreux.  Sur la moitié nord du projet, un ensemble de fossés  peut constituer les restes d’un enclos, éventuellement rapportables à la Protohistoire, d’après la découverte à la surface de leur comblement de quelques tessons de poterie protohistorique. Parmi ces fossés gisait une urne cinéraire probablement gauloise retrouvée isolée. De nombreux vestiges datés des deux premiers siècles de notre ère occupent le tiers sud-ouest de l’emprise. Plusieurs larges fosses et quelques trous de poteaux épars concentrés sur l’angle sud-ouest de la parcelle informent par ailleurs sur la présence d’une occupation pérenne. Un petit corpus de céramiques, de terre cuite et d’objets en fer accompagne cet ensemble de structures, éventuellement dévolues au rejet de consommation issu d’un espace domestique. Une troisième concentration de vestiges prend place dans l’angle sud-est du projet. Deux longs fossés nord-sud, quelques fosses et nappes peu profondes et un bâtiment sur poteaux indiquent la fréquentation des lieux durant le haut Moyen Âge. Un mobilier céramique peu abondant mais daté de manière homogène de l’époque carolingienne, annonce l’existence d’un habitat de statut plutôt privilégié dont les vestiges n’ont pas été clairement localisé;Disponible;2023;1 vol. (116 p.) : ill. en coul. ;;;;;;;;;;;;;;;;;;;
Languidic (56). Coët Mousset. Occupations du Néolithique moyen et de la Protohistorique Ancienne. Rapport de fouille.;http://www.viaf.org/viaf/176150747060216301309 Toron, Sébastien;;EVEHA;;;55784;;;La fouille de Coët Mousset à Languidic (56), a permis de mettre au jour des espaces domestiques et artisanaux datés d’une part du milieu du Néolithique et d’autre part du début de l’âge du Bronze ainsi qu’un réseau viaire du Moyen Âge.;En attente de validation par la CTRA;2023;1 vol. (62 p.) : ill. en coul. ;;;;;;;;;;;;;;;;;;;;
