"Titre,Créateur,Sujet,Editeur,Type,Format,Identifiant,Source,Langue,Résumé,""Date de disponibilité"",""Date de publication"",""Importance matérielle"",""Couverture spatiale"",""Couverture temporelle"",Licence,""P35 has identified"",""P70 documents"",""P4 has time-span"",""P14 carried out by"",""P1 is identified by"",""P2 has type"""																																
"Plouay (56). Manetanet. Un remarquable ensemble funéraire de l’âge du Fer,""http://www.viaf.org/viaf/58720418 Tanguy, Daniel"",,Association Scorff et Patrimoine,,,056141,,,""La fouille programmée confirme tout l’intérêt de la recherche sur l’ensemble funéraire de Manetanet. Plusieurs aspects inédits contribuent à une meilleure connaissance des pratiques funéraires sur une période charnière. Malgré les destructions récentes, le tumulus conserve une base permettant de bien comprendre sa structure et de répondre aux questions laissées en suspens par les explorations anciennes."",Disponible,2023,1 vol. (90 p.) : ill. en coul. "	" 30 cm | 12 Mo,http://www.geonames.org/3030288 Bretagne | http://www.geonames.org/2991879 Morbihan | http://www.geonames.org/6437339 Plouay,https://ark.frantiq.fr/ark:/26678/pcrtS9zS3EMQiR premier âge du fer | https://ark.frantiq.fr/ark:/26678/pcrtxVmyWBbIQq second âge du fer,,,https://ark.frantiq.fr/ark:/26678/pcrt6FJgRdSUXx stèle funéraire | https://ark.frantiq.fr/ark:/26678/pcrt4r4BzEK12w enclos funéraire | https://ark.frantiq.fr/ark:/26678/pcrtNBrnOdttU9 parure | https://ark.frantiq.fr/ark:/26678/pcrt795b632nWw sépulture | https://ark.frantiq.fr/ark:/26678/pcrtt5JlTMM6i9 urne cinéraire | https://ark.frantiq.fr/ark:/26678/pcrtf8SaMYKckm objet en métal,Avril et août 2022,""http://www.viaf.org/viaf/58720418 Tanguy, Daniel"",RAP04287,fouille programmée"																															
"Quimperlé (29). Stang An Aman. Habitat et structures artisanales de l'âge du Bronze. Rapport de Fouilles.,""http://www.viaf.org/viaf/67150565733806252223 Sicard, Sandra"",,https://www.idref.fr/069185719 Institut national de recherches archéologiques préventives,,,055637,,,""La fouille réalisée au lieu-dit Stang an Aman à Quimperlé (29) a permis d’étudier des vestiges de l’âge du Bronze sur deux zones distantes de 400 m. La zone 1 a livré plusieurs plans de bâtiments, des structures de combustion et des fosses. L’ensemble correspond aux vestiges d’un habitat occupé à l’âge du Bronze ancien et final. La zone 2 a livré plusieurs structures empierrées originales appartenant à des périodes chronologiques différentes, de l’âge de Bronze au Moyen-âge, ainsi que plusieurs structures empierrées non datées."",En attente de validation par la CTRA,2023,1 vol. ( 300 p.) : ill. en coul. "	 30 cm | 228 Mo,http://www.geonames.org/3030288 Bretagne | http://www.geonames.org/3018471 Finistère | http://www.geonames.org/6431034 Quimperlé,https://ark.frantiq.fr/ark:/26678/pcrtU9wwh3D5FE Bronze ancien | https://ark.frantiq.fr/ark:/26678/pcrtWZ1Q76vmrn Bronze récent | https://ark.frantiq.fr/ark:/26678/pcrtS9zS3EMQiR premier âge du fer | https://ark.frantiq.fr/ark:/26678/pcrtOA7J729U5c haut Moyen Âge,,29 233 0050	292 330 054	" 29 233 0055,https://ark.frantiq.fr/ark:/26678/pcrtbfqVEeganP industrie lithique | https://ark.frantiq.fr/ark:/26678/pcrtVnWeKqGpcj habitat rural | https://ark.frantiq.fr/ark:/26678/pcrtSxe2PZMWR8 habitation | https://ark.frantiq.fr/ark:/26678/pcrtJUwAaZ7Nz9 foyer | https://ark.frantiq.fr/ark:/26678/pcrtjMViY6Mka1 structure de combustion | https://ark.frantiq.fr/ark:/26678/pcrtIqEHwJLuq0 four | https://ark.frantiq.fr/ark:/26678/pcrtdgALrHBSlv silo | https://ark.frantiq.fr/ark:/26678/crt9ey83pmtqt objet en terre cuite | https://ark.frantiq.fr/ark:/26678/pcrt4StkSBEvk6 céramique protohistorique européenne | https://ark.frantiq.fr/ark:/26678/pcrtzjREioYILk fusaïole | https://ark.frantiq.fr/ark:/26678/pcrtt4zLcbgpbm peson,du 15/09/2019 au 31/10/2019 et du 15/06/2020 au 21/07/2020,""http://www.viaf.org/viaf/67150565733806252223 Sicard, Sandra"",RAP04286,fouille préventive"																													
"Vannes (56). 57 rue de Strasbourg. Rapport de diagnostic.,""http://www.viaf.org/viaf/300058042 Beuchet, Laurent"",,https://www.idref.fr/069185719 Institut national de recherches archéologiques préventives,,,056233,,,""Le diagnostic archéologique réalisé au 57 rue de Strasbourg à Vannes, préalable à l’aménagement d’un ensemble immobilier, s’est déroulé du 31 janvier au 3 février 2023. Il n’a révélé aucun vestige d’occupation ancienne."",Disponible,2023,1 vol. (38 p.) : ill. en coul. "	" 30 cm | 4 Mo,http://www.geonames.org/3030288 Bretagne | http://www.geonames.org/2991879 Morbihan | http://www.geonames.org/2970777 Vannes,,,,,31/01 au 03/02/2023,""http://www.viaf.org/viaf/300058042 Beuchet, Laurent"",RAP04289,diagnostic préventif"																															
"Sainte-Sève (29). Avion Havoc A20. Rapport protection thématique.,""Collaveri, Gilles"",,,,,056149,,,L’objectif de la présente prospection inventaire était (i) de valider l’emplacement du crash.,Consultable uniquement au SRA,2022,1 vol. (p.) : ill. en coul. "	" 30 cm,http://www.geonames.org/3030288 Bretagne | http://www.geonames.org/2991879 Morbihan | http://www.geonames.org/6431054 Sainte-Sève,https://ark.frantiq.fr/ark:/26678/pcrtIM599oIntc Seconde Guerre mondiale,,29 265 0006,https://ark.frantiq.fr/ark:/26678/pcrtzT5pONhSNv avion,2022,""Collaveri, Gilles"",RAP04284,prospection thématique"																															
"Locmariaquer (56). Rue Er Hastel. Des vestiges du Néolithique et de l’âge Bronze en périphérie du bourg de Locmariaquer,""http://www.viaf.org/viaf/59164959872424021896 Le Berre, Stéphanie"",,https://www.idref.fr/069185719 Institut national de recherches archéologiques préventives,,,056214,,,""La majorité des indices d'occupation apparaîent sous forme d’aménagements empierrés bien individualisés (structures à pierres chauffées, une potentielle tombe à inhumation en coffre), caractérisant une ou plusieurs occupations du site entre le Néolithique moyen et, a minima, l’âge du Bronze ancien. Les indices relatifs à la période antique sont faibles et place la zone diagnostiquée hors d’emprise de l’agglomération antique. L’environnement médiéval conserve visiblement ce caractère rural."",Disponible,2023,1 vol. (118 p.) : ill. en coul. "	" 30 cm. | 9.8 Mo,http://www.geonames.org/3030288 Bretagne | http://www.geonames.org/2991879 Morbihan | http://www.geonames.org/6437294 Locmariaquer,https://ark.frantiq.fr/ark:/26678/pcrt2Da0ASe5sL Néolithique moyen | https://ark.frantiq.fr/ark:/26678/pcrtdnSecgloEJ Néolithique récent | https://ark.frantiq.fr/ark:/26678/pcrtSZ1b47Qkjp Bronze moyen | https://ark.frantiq.fr/ark:/26678/pcrt6v7rFwj0do Chalcolithique | https://ark.frantiq.fr/ark:/26678/pcrtGrQ5rGj213 époque gallo-romaine | https://ark.frantiq.fr/ark:/26678/pcrtkWqzTusoxz bas Moyen Âge,,,https://ark.frantiq.fr/ark:/26678/pcrtms2OAv82PY fosse | https://ark.frantiq.fr/ark:/26678/pcrtSu7E2Qh0Xv site d'extraction | https://ark.frantiq.fr/ark:/26678/pcrtVnWeKqGpcj habitat rural | https://ark.frantiq.fr/ark:/26678/pcrt795b632nWw sépulture | https://ark.frantiq.fr/ark:/26678/pcrtJUwAaZ7Nz9 foyer | https://ark.frantiq.fr/ark:/26678/pcrtbfqVEeganP industrie lithique | https://ark.frantiq.fr/ark:/26678/pcrt4GqimUgoOq verre | https://ark.frantiq.fr/ark:/26678/pcrtfJZc0WN1Td tegula | https://ark.frantiq.fr/ark:/26678/pcrtho8l95no0j céramique commune | https://ark.frantiq.fr/ark:/26678/crt9ey83pmtqt objet en terre cuite | https://ark.frantiq.fr/ark:/26678/pcrt4StkSBEvk6 céramique protohistorique européenne,04/10/2022 au 18/10/2022,""http://www.viaf.org/viaf/59164959872424021896 Le Berre, Stéphanie"",RAP04290,diagnostic préventif"																															
"Locmaria (56). Les Landes douces. Rapport de diagnostic.,""Baillieu, Claire"",,https://www.idref.fr/069185719 Institut national de recherches archéologiques préventives,,,056213,,,""Le diagnostic a permis de mettre au jour un tumulus jusqu’ici masqué par la végétation. Le tertre, d’une trentaine de mètres de diamètre, présentait un modeste bombement rendu visible par le défrichement de la parcelle en vue de la réalisation du diagnostic. Un sondage réalisé à la périphérie de la structure a confirmé le caractère anthropique de cette anomalie topographique. Bien que le mobilier mis au jour soit particulièrement pauvre et découvert dans les niveaux de terre végétale, la datation au radiocarbone effectuée sur un charbon prélevé sous un niveau de pierres situé à la base du tumulus permet de dater le tertre de la fin du IIIe millénaire, soit la transition Campaniforme-âge du Bronze."",Disponible,2023,1 vol. ( 60 p.) : ill. en coul. "	" 30 cm | 6.3 Mo,http://www.geonames.org/3030288 Bretagne | http://www.geonames.org/2991879 Morbihan | http://www.geonames.org/6615240 Locmaria,https://ark.frantiq.fr/ark:/26678/pcrtxzhXkquMs2 Campaniforme | https://ark.frantiq.fr/ark:/26678/pcrtU9wwh3D5FE Bronze ancien,,,https://ark.frantiq.fr/ark:/26678/pcrtjt6fT6tah9 tumulus | https://ark.frantiq.fr/ark:/26678/crt9ey83pmtqt objet en terre cuite | https://ark.frantiq.fr/ark:/26678/pcrtGdotYbyIR9 architecture funéraire,10/10/2022 au 13/10/2022,""Baillieu, Claire"",RAP04283,diagnostic préventif"																															
"Locmariaquer (56). 12 impasse de la Ruche.,""Bourne, Stéphane"",,https://www.idref.fr/069185719 Institut national de recherches archéologiques préventives,,,056211,,,""Un probable coffre funéraire formé de gros blocs de granite posés à plat associé à un amas de pierres de plus petite taille (probablement un lambeau de tertre), ont été mis au jour dans l’angle. nord-est de l’emprise du diagnostic. Le diagnostic a également permis de renseigner l’évolution du paysage agraire, dont la plus ancienne remonte a minima au début de l’Antiquité."",Disponible,2023,1 vol. (62 p.) : ill. en coul. "	" 30 cm | 5.9 Mo,http://www.geonames.org/3030288 Bretagne | http://www.geonames.org/2991879 Morbihan | http://www.geonames.org/6437294 Locmariaquer,https://ark.frantiq.fr/ark:/26678/pcrtU9wwh3D5FE Bronze ancien | https://ark.frantiq.fr/ark:/26678/pcrtH5r3FYBpwe Haut-Empire romain | https://ark.frantiq.fr/ark:/26678/pcrtAjWBVFSefH Moyen Âge classique | https://ark.frantiq.fr/ark:/26678/pcrtkWqzTusoxz bas Moyen Âge,,,https://ark.frantiq.fr/ark:/26678/pcrt795b632nWw sépulture | https://ark.frantiq.fr/ark:/26678/pcrttj5t8ZRTvk coffre funéraire en pierre | https://ark.frantiq.fr/ark:/26678/pcrtHBU3mnn3DF structure agraire | https://ark.frantiq.fr/ark:/26678/crt9ey83pmtqt objet en terre cuite,2 au 10 novembre 2022,""Bourne, Stéphane"",RAP04288,diagnostic préventif"																															
"Plougastel-Daoulas (29). Koatpehen. Le rocher de l'Impératrice. Rapport de fouille programmée 2022.,""http://www.viaf.org/viaf/173593800 Naudinot, Nicolas"",,""https://www.idref.fr/078599725 Cultures et Environnements. Préhistoire, Antiquité, Moyen Âge (Nice)"",,,056150,,,La fouille de ces secteurs a permis de mettre en évidence des niveaux d’occupations bien préservés. Les premiers résultats s’inscrivent parfaitement dans le scénario dégagé par les autres analyses menées sur le matériel et l’organisation spatiale du site conduisant à voir dans les couches aziliennes du Rocher de l’Impératrice le résultat de passages répétés de petits groupes de chasseurs pour des occupations très courtes au cours de l’Azilien ancien.,Disponible,2023,1 vol. (86 p.) : ill. en coul. "	" 30 cm | 8.6 Mo,http://www.geonames.org/3030288 Bretagne | http://www.geonames.org/2991879 Morbihan | http://www.geonames.org/6431000 Plougastel-Daoulas,https://ark.frantiq.fr/ark:/26678/pcrtBI7EAgtuiS Azilien,,29 189 0001,https://ark.frantiq.fr/ark:/26678/pcrtkeLpJpVN4t abri sous roche | https://ark.frantiq.fr/ark:/26678/pcrtFPA0Zqg3Yz motif décoratif,4 juillet au 30 juillet 2022,""http://www.viaf.org/viaf/173593800 Naudinot, Nicolas"",RAP04295,fouille programmée"																															
"Melesse (35). Les Olivettes 2 : occupations rurales protohistorique, gallo-romaine et médiévale. Rapport de diagnostic,""Hamon, Anne-Louise"",,https://www.idref.fr/069185719 Institut national de recherches archéologiques préventives,,,056202,,,""Quatre occupations chronologiquement distinctes ont été localisées sur l’ensemble de l’emprise. La période de l’âge du Bronze est représentée par une hache en alliage cuivreux.  Sur la moitié nord du projet, un ensemble de fossés  peut constituer les restes d’un enclos, éventuellement rapportables à la Protohistoire, d’après la découverte à la surface de leur comblement de quelques tessons de poterie protohistorique. Parmi ces fossés gisait une urne cinéraire probablement gauloise retrouvée isolée. De nombreux vestiges datés des deux premiers siècles de notre ère occupent le tiers sud-ouest de l’emprise. Plusieurs larges fosses et quelques trous de poteaux épars concentrés sur l’angle sud-ouest de la parcelle informent par ailleurs sur la présence d’une occupation pérenne. Un petit corpus de céramiques, de terre cuite et d’objets en fer accompagne cet ensemble de structures, éventuellement dévolues au rejet de consommation issu d’un espace domestique. Une troisième concentration de vestiges prend place dans l’angle sud-est du projet. Deux longs fossés nord-sud, quelques fosses et nappes peu profondes et un bâtiment sur poteaux indiquent la fréquentation des lieux durant le haut Moyen Âge. Un mobilier céramique peu abondant mais daté de manière homogène de l’époque carolingienne, annonce l’existence d’un habitat de statut plutôt privilégié dont les vestiges n’ont pas été clairement localisé"",Disponible,2023,1 vol. (116 p.) : ill. en coul. "	 30 cm | 12.5 Mo,http://www.geonames.org/3030288 Bretagne | http://www.geonames.org/3012849 Ille-et-Vilaine | http://www.geonames.org/6432749 Melesse,https://ark.frantiq.fr/ark:/26678/pcrtH5r3FYBpwe Haut-Empire romain | https://ark.frantiq.fr/ark:/26678/pcrtxVmyWBbIQq second âge du fer | https://ark.frantiq.fr/ark:/26678/pcrtOA7J729U5c haut Moyen Âge | https://ark.frantiq.fr/ark:/26678/pcrtU9wwh3D5FE Bronze ancien | https://ark.frantiq.fr/ark:/26678/pcrtxzhXkquMs2 Campaniforme,,35 311 0029	353 110 030	353 110 031	" 35 311 0032,https://ark.frantiq.fr/ark:/26678/pcrtPsfSZ5o6f9 vase funéraire | https://ark.frantiq.fr/ark:/26678/pcrtI9ADjL6wEs hache | https://ark.frantiq.fr/ark:/26678/pcrtFnKonRZjWY trou de poteau | https://ark.frantiq.fr/ark:/26678/pcrtIdEjFMFAod unité bâtie agricole | https://ark.frantiq.fr/ark:/26678/pcrtVnWeKqGpcj habitat rural,12 au 18 septembre 2022,""Hamon, Anne-Louise"",RAP04285,diagnostic préventif"																												
"Languidic (56). Coët Mousset. Occupations du Néolithique moyen et de la Protohistorique Ancienne. Rapport de fouille.,""http://www.viaf.org/viaf/176150747060216301309 Toron, Sébastien"",,EVEHA,,,055784,,,""La fouille de Coët Mousset à Languidic (56), a permis de mettre au jour des espaces domestiques et artisanaux datés d’une part du milieu du Néolithique et d’autre part du début de l’âge du Bronze ainsi qu’un réseau viaire du Moyen Âge."",En attente de validation par la CTRA,2023,1 vol. (62 p.) : ill. en coul. "	" 30 cm | 46.7 Mo,http://www.geonames.org/3030288 Bretagne | http://www.geonames.org/2991879 Morbihan | http://www.geonames.org/6437281 Languidic,https://ark.frantiq.fr/ark:/26678/pcrt2Da0ASe5sL Néolithique moyen | https://ark.frantiq.fr/ark:/26678/pcrtSZ1b47Qkjp Bronze moyen | https://ark.frantiq.fr/ark:/26678/pcrtWZ1Q76vmrn Bronze récent | https://ark.frantiq.fr/ark:/26678/pcrtOA7J729U5c haut Moyen Âge,,,https://ark.frantiq.fr/ark:/26678/crt9ey83pmtqt objet en terre cuite | https://ark.frantiq.fr/ark:/26678/pcrti29g0mB5JT réseau routier | https://ark.frantiq.fr/ark:/26678/pcrt8N9y3ZL4Lh ferme | https://ark.frantiq.fr/ark:/26678/pcrtJUwAaZ7Nz9 foyer | https://ark.frantiq.fr/ark:/26678/pcrtekRzBDVyGa céramique néolithique | https://ark.frantiq.fr/ark:/26678/pcrtbfqVEeganP industrie lithique | https://ark.frantiq.fr/ark:/26678/pcrtjMViY6Mka1 structure de combustion | https://ark.frantiq.fr/ark:/26678/pcrtIqEHwJLuq0 four | https://ark.frantiq.fr/ark:/26678/pcrtpzpA8KI0Tp entrepôt,09 mars au 17 juillet 2020,""http://www.viaf.org/viaf/176150747060216301309 Toron, Sébastien"",RAP04291,fouille préventive"																															
